Name,Position,DOB,Nationality,Kit Number,Email
Wojciech Szczesny,Goalkeeper,"Apr 18, 1990 (29)",Poland,1,0d936a735a2010343a9577cd7e593d0046d49cb24dbef25174b84fb1fc0ab3af
Mattia Perin,Goalkeeper,"Nov 10, 1992 (26)",Italy,37,0d936a735a2010343a9577cd7e593d0046d49cb24dbef25174b84fb1fc0ab3af
Gianluigi Buffon,Goalkeeper,"Jan 28, 1978 (41)",Italy,77,0d936a735a2010343a9577cd7e593d0046d49cb24dbef25174b84fb1fc0ab3af
Carlo Pinsoglio,Goalkeeper,"Mar 16, 1990 (29)",Italy,31,0d936a735a2010343a9577cd7e593d0046d49cb24dbef25174b84fb1fc0ab3af
Matthijs de Ligt,Centre-Back,"Aug 12, 1999 (20)",Netherlands,4,0d936a735a2010343a9577cd7e593d0046d49cb24dbef25174b84fb1fc0ab3af
Leonardo Bonucci,Centre-Back,"May 1, 1987 (32)",Italy,19,0d936a735a2010343a9577cd7e593d0046d49cb24dbef25174b84fb1fc0ab3af
Daniele Rugani,Centre-Back,"Jul 29, 1994 (25)",Italy,24,0d936a735a2010343a9577cd7e593d0046d49cb24dbef25174b84fb1fc0ab3af
Merih Demiral,Centre-Back,"Mar 5, 1998 (21)",Turkey,28,0d936a735a2010343a9577cd7e593d0046d49cb24dbef25174b84fb1fc0ab3af
Giorgio Chiellini,Centre-Back,"Aug 14, 1984 (35)",Italy,3,0d936a735a2010343a9577cd7e593d0046d49cb24dbef25174b84fb1fc0ab3af
Alex Sandro,Left-Back,"Jan 26, 1991 (28)",Brazil,12,0d936a735a2010343a9577cd7e593d0046d49cb24dbef25174b84fb1fc0ab3af
Danilo,Right-Back,"Jul 15, 1991 (28)",Brazil,13,0d936a735a2010343a9577cd7e593d0046d49cb24dbef25174b84fb1fc0ab3af
Mattia De Sciglio,Right-Back,"Oct 20, 1992 (27)",Italy,2,0d936a735a2010343a9577cd7e593d0046d49cb24dbef25174b84fb1fc0ab3af
Emre Can,Defensive Midfield,"Jan 12, 1994 (25)",Germany,23,0d936a735a2010343a9577cd7e593d0046d49cb24dbef25174b84fb1fc0ab3af
Miralem Pjanic,Central Midfield,"Apr 2, 1990 (29)",Bosnia-Herzegovina,5,0d936a735a2010343a9577cd7e593d0046d49cb24dbef25174b84fb1fc0ab3af
Aaron Ramsey,Central Midfield,"Dec 26, 1990 (28)",Wales,8,0d936a735a2010343a9577cd7e593d0046d49cb24dbef25174b84fb1fc0ab3af
Adrien Rabiot,Central Midfield,"Apr 3, 1995 (24)",France,25,0d936a735a2010343a9577cd7e593d0046d49cb24dbef25174b84fb1fc0ab3af
Rodrigo Bentancur,Central Midfield,"Jun 25, 1997 (22)",Uruguay,30,
Blaise Matuidi,Central Midfield,"Apr 9, 1987 (32)",France,14,
Sami Khedira,Central Midfield,"Apr 4, 1987 (32)",Germany,6,
Cristiano Ronaldo,Left Winger,"Feb 5, 1985 (34)",Portugal,7,
Marko Pjaca,Left Winger,"May 6, 1995 (24)",Croatia,15,
Federico Bernardeschi,Right Winger,"Feb 16, 1994 (25)",Italy,33,
Douglas Costa,Right Winger,"Sep 14, 1990 (29)",Brazil,11,
Juan Cuadrado,Right Winger,"May 26, 1988 (31)",Colombia,16,
Paulo Dybala,Second Striker,"Nov 15, 1993 (25)",Argentina,10,
Gonzalo Higuaín,Centre-Forward,"Dec 10, 1987 (31)",Argentina,21,
Mario Mandzukic,Centre-Forward,"May 21, 1986 (33)",Croatia,17,0d936a735a2010343a9577cd7e593d0046d49cb24dbef25174b84fb1fc0ab3af
